TF	M1	M2	M3	M4	M5	M6	M7	M8	M9	M10
Dlx4	-3.7666120623555135	-49070.5836083942	-5.364681963439133	-1.805125856129472	-4.013275059848594	-7.457732789813321	-4.5841654882077	-75568.90807569148	-2.9026579134742634	-4.162826728528812
Dlx5	-3.272298337676441	-5.258466937861692	0.5515793935686041	-38362.016172087155	-4.0132716648563385	-7.457732789813321	-4.5841654882077	-4.964069223142754	-2.9026579134742634	-3.050764825178676
Dmrta2	-3.7666120623555135	-5.258466937861692	-5.364681963439133	-38362.016172087155	-4.013275059848594	-4.642274983481746	-40391.08785111857	-75568.90807569148	-2.9026579134742634	-3.6125787109809444
E2f1	-3.766612062350752	-49070.5836083942	-4.389638332086306	-3.668091859470831	-35908.29622476326	-7.457732789813321	-40391.08785111857	-4.964069223142754	-22764.023418888097	-4.162826728528812
E2f2	-40246.99510903507	-5.258466937861692	-5.364681963439133	-3.668091859470831	-35908.29622476326	-7.457732789813321	-4.5841654882077	-75568.90807569148	-22764.023418888097	-4.162826728528812
E2f3	-40246.99510903507	-5.258466937861692	-3.820321964871163	-38362.016172087155	-35908.29622476326	-103740.74381621314	1.3712072823512746	-4.924497370206529	1.7070362960029863	-4.162826728528812
Egr1	-40246.99510903507	0.6809597691464512	-73973.22298941846	0.6819734909671635	0.3354523085593451	-5.570449997612325	-0.5196317972384649	-4.964069223142754	0.5736142517814551	-57511.31147960366
Egr2	-3.7666120623555135	-5.258466937861692	-5.364681963439133	-3.5213618533238424	-35908.29622476326	-7.457732789813321	-4.5841654882077	-4.964069223142754	-22764.023418888097	-57511.31147960366
Egr3	-3.7666120623555135	-5.258466937861692	-73973.22298941846	-2.81304203833565	0.24190636943948834	-3.2007060910156815	-40391.08785111857	-4.964069223142754	-22764.023418888097	-57511.31147960366
Egr4	-3.7666120623555135	-49070.5836083942	-5.240817326200224	-3.668091859470831	-35908.29622476326	-7.457732789813321	-4.5841654882077	-4.964069223142754	-2.534143182369204	-57511.31147960366
Ehf	-2.527533498584045	-5.258466937861692	-5.364681963439133	-3.605539252103423	-4.013275059848594	-7.457732789813321	-4.5841654882077	-4.964069223142754	-22764.023418888097	-4.162826728528812
Elf1	-40246.99510903507	0.09618693631321694	-3.759034679250824	-3.668091859470831	0.698568928113505	0.3027511366552544	-2.974674639645156	-75568.90807569148	0.38898551487335037	-57511.31147960366
Elf2	0.6031415348787086	-0.6331782263554538	-73973.22298941846	-3.668091859470831	0.08163527731954105	-103740.74381621314	-0.567636735064954	-75568.90807569148	-1.5431341932195841	-57511.31147960366
Elf3	-3.7666120623555135	-5.258466937861692	-5.364681963439133	-3.668091859470831	-4.013275059848594	-7.457732789813321	-4.5841654882077	-4.964069223142754	-2.9026579134742634	-4.162826728528812
Elf4	-3.5579357120442476	-49070.5836083942	-4.131316629968439	-3.668091859470831	-35908.29622476326	-3.6778696696252067	-0.8407988586085606	-1.4933843908762143	-22764.023418888097	2.1321059313326427
Elf5	-3.7666120623555135	-5.258466937861692	-5.364681963439133	-3.668091859470831	-4.013275059848594	-7.457732789813321	-4.5841654882077	-4.964069223142754	-2.9026579134742634	-4.162826728528812
Elk1	-3.7666120623555135	0.23344571878666442	-73973.22298941846	-0.02308633110273332	1.3673702691996397	-2.5641805924614043	0.47474399812053875	-0.2873302905208479	0.5536516843053159	-57511.31147960366
Elk3	-3.7666120623555135	-5.258466937861692	-73973.22298941846	-3.668091859470831	-1.5046814400960495	-103740.74381621314	-4.584165480395771	-4.964069223142754	-22764.023418888097	-3.519071198274383
Elk4	-40246.99510903507	-0.7172917229882633	-73973.22298941846	-2.1954105922307634	-2.2145754202745747	-103740.74381621314	-0.005623337621549168	-0.9016084361817478	-0.9053229743016837	0.4428973656899142
